text;expected_sentiment
This isn't Jumpman!!! FAKE SONG;negative
This was an accidental purchase.;negative
why did he have to drop the F$%* word??;negative
It's okay for me.;negative
"i  never received my order. It is not in my music library in my kindle. ;(";negative
Don't like it;negative
this song its the best worst song and the cars where better it had a better way of showing the 1960s off though;negative
Somehow doesn't work for me. Too many similar and overworked songs. Waste of money. Jusy buy the BEST--and skip this mess.;negative
I like the music but the sound quality is poor.;negative
This was just okay. Not the best. It really could have been better,like if the songs were full songs. they sounded nice though.;negative
I wish I could tell you about this book, but I never got it.;negative
Didn't like this song too much.;negative
double purchase;negative
...if you're gonna like it.  A blind sample of this, and I didn't like it.  It's not my type of music.;negative
boooo! worst Floyd ever!;negative
not as good as original;negative
I have no idea what this is...I never ordered this.;negative
this was a purchase for my boyfriend so i can't really say but its ok to hear it ever once and a while;negative
Really like it.;negative
This is ordered by mistake-was not what I wanted!;negative
THANK GOD THE POWER HAS FALLEN!!!!!;negative
This collection was okay,not the best. It could have been better and I really wanted it to be better. just eh.;negative
I didn't mean to buy this song I don't like it;negative
Hard to hear the music over the annoying sound effects.;negative
"Not a fan. Price ok song isn't. Like i said ""Not my kind of music"" but it was free and some of my friends may like it.";negative
I didn't like this album.  I have it one listen and that was enough for me.  I will stick with Type O Negative.;negative
not as good as I hoped it would be;negative
Glad it was free. I would not have paid for this. He was better at pop songs rather then Christmas songs.;negative
Stop already.;negative
This is a good song if you like Lady Antebellum,;negative
Not club nouveau....... this is the Timex Social Club. Don't buy it!!!!!;negative
Not my type of music. Downloaded by mistake;negative
I like her voice, is excellent. What I don't like is the lyric.;negative
I'm disappointed. I love this cd but when I played it was super scratchy and I couldn't enjoy the songs.;negative
bought for mom;negative
Good buy from Amazon.;negative
Wasn't horrible but not for me.;negative
THIS IS A OK SONG IT WAS EASY TO DOWNLOAD WITH NO PROBLEMS AT ALL  THE ALBUM MIGHT BE OK I DONT LIKE ADELE;negative
Garbage, for the children!;negative
again down loaded the wrong song, sorry.  I'm confused to as why there's so many different copies of this one song on Amazon?;negative
Didn't down load the song I wanted which was I want crazy... I got some other down load that sucked;negative
didnt sound like beyonce;negative
Love album but sound is terrible can't believe the record company dropped the ball on such a good album;negative
"Again, not my type of music, bubble gum pop style doesn't do it for me, and adapting it for
dance doesn't help.";negative
stops in the middle of the song;negative
"B SIDE OF BLOOM ? ;(";negative
I like the original song if I would have known it was this tiesto's birthday I will not have purchased it;negative
Awful Quality for this song. I thought it would be better.;negative
cant understand what hes saying;negative
I love this song but this rendition isn't the best. Not in my opinion at least.... But everyone is different.;negative
everytime I play it, it cuts off the end...Not sure, was that how it was recorded? or did my download mess up?;negative
Two songs should not be melded as 1 if they are as different as this. Instead,they should do 1 or the other.;negative
Seems to have been well received. The selection came off of their wish list so I expected them to enjoy it and they did.;negative
"I didn't order this, no clue how it showed up on my ""write a review"". So it gets one star.";negative
Yeah,  yeah.  Boring.;negative
purchased the 3 album set, didn't even bother opening this one, the other 2 were not good;negative
GET A PRAISE!!!!;negative
purchased for someone else.;negative
MUSIC NEVER FORGOTTEN;negative
Did not like very well.;negative
Waste of time and money.;negative
I DIDN'T LIKE IT COULDN'T UNDERSTAND THE MUSIC,WOULD LIKE TO REMOVE FROM MY DEVICE. But most  people WOULD find interesting.;negative
there is no reason for me to be excited to listen to music. it is not caring to certain individuals and;negative
heard it on a documentary and thought the chorus was cool but not really worth the listen when it cycles through on the ipod;negative
Bought for a client. Not my taste;negative
This was not the version of summer madness I had intended to download.  I'll try again next year to correct.;negative
It may be a good song to others depending on the genre of music you like but it just wasn't my thing.;negative
"Not Taylor's best work; I only bought it because it was cheap, and I wish I hadn't.  Not a song on it I really like.";negative
no music is better than some of the music you hear nowadays. music just sucks in general and doesnt work for me.;negative
"Don't download just this song, you only get the tail end when they are singing the ""do do du dupe"" part.";negative
I love the song but the quality of the recording is lousy --I can hear the bass more than I can hear the lyrics!;negative
I DID NOT KNOW THAT THEY WOULD NOT HAVE CAPS;negative
this is aweful and I love the lips;negative
I thought it was the same version as the soundtrack to the movie;negative
It old and got sick of it fast;negative
Bought this for a work function, not for me. I am sorry that I could not give a more in-depth review.;negative
only 1 song i like;negative
I love that we can download music so fast and it is available online for free storage and great service.;negative
just not my type of rendition.  Thought her voice was a little weak, but maybe other things she's done is better.;negative
i bought it because i wanted to see what the heck everyone would not shut up about. now i regret it;negative
I saw this on Zach and Cody and I was like yeah this is my Jam but Jesse is not rad and not popular.;negative
Why this was even on my list of items to review, I never downloaded it.;negative
I don't like it;negative
A lot of money and next to impossible to install well.;negative
I don't need it.;negative
Very disappointed!;negative
Long dreary. Similiar sounds..  Looking for more of him.... I'll try again..;negative
I'm sorry, but this is not a song. It is noise condensed into a format that can be played on any media player...don't get!;negative
This is not old school, It is for the young and energy driven. Good dance music not just for listening.;negative
