text;expected_sentiment
Many of the almonds were shriveled up.;negative
I ran into problems w/subscribe and save for premium espresso this month so I ordered this instead AND WAS VERY disappointed!!! because it is very weak as compared to the former;negative
Not even my neighbor's parrots would eat these.;negative
I don't know what I was expecting this to taste like but it was not for me.  Gave it to my mom.  Shes not to fond of it either.  Very bitter.;negative
Terrible fudge.  I ordered the Penuche and it tastes nothing like any Penuche I have had before.  Had kind of a waxy flavor - not much flavor to it.;negative
Upon receipt of the package has been opened;negative
I would use it for non sweet bake products. Bland, PEPPERY, Ive had good unwashed seeds before for my baking needs but this does not do the desired effects.;negative
they taste good, but thats probably because they are candied pineapple chunks that are covered in more sugar than pineapple should have.;negative
The sell by date on these was way past when I got it.  Therefore dry and stale.;negative
"We tried this but didn't really care too much for it.  The coffee tasted watered down and really didn't have as good a flavor as other ""medium"" roasts we've had.";negative
This is the mildest Carolina Reaper pepper hot sauce I've ever had. It must not have much Reaper pepper in it.;negative
As others have said, there are two issues: 1) they are mushy, and 2) they get moldy really quick.;negative
Of all my bitters ( 6 at the moment) this is least used. Just too odd and strange to use very often, IMO.;negative
I don't like the flavor or the nutritional content. Won't order again, it's a bit bitter and chalky.;negative
Breyers adds air to their ice cream which saves them dimes and makes it taste crappy.;negative
They are nice but would like better if they snapped onto the k-cups to prevent spilling.  Can't pre-make and store K-cups for future use.;negative
Way too sweet and fake flavor. Went into the trash. Waste of money;negative
Taste good but whats with color and artificial ingredients?;negative
Works as a sweetener syrup and I'm glad its sugar free, but there's absolutely zero pumpkin spice flavor in this.;negative
"I have always enjoyed dunkin donuts coffee kcups but this last batch I purchased was weak and did not even taste like coffee. This was
an expensive waste of money.";negative
Not what i expected, they never got soft enough to be like mushrooms!;negative
flavor was YUCK and it was like eating a muscle (sorry that was my response when trying to chew) I will not be ordering again;negative
"I cannot imagine how or why Betty Crocker would put her name on this horrible tasting mashed potato ??
It was the worst I have ever tasted. SUE";negative
remember them tasting a lot better, what happened?;negative
I didn't like the taste i will give it another try.;negative
HIT OR A MISS.  MINE WAS VERY BLAND. NOT EVEN SALTY.  BUT THE NEXT DAY I WAS PUFFY.  TRIED THE WHITE CHEDDAR AND THE BUTTER FLAVOR ON POPCORN.;negative
These are not the most tasty lunch food, pretty bland;negative
These arrived on time, but as  expected?  NO.  The chocolate tasted old and had white spots.  Such a shame for this usually delicious brand.  I didn't bother returning it.;negative
They taste like vitamins hidden in sugar. I bought them because of the great reviews. Description says they're delicious. Clearly they haven't eaten them! Returning them ASAP!!!!;negative
Taste very bad . I used to take any green powders and know they not tasty but this one is exceptionally bad - seaweed taste ..send back .. sorry;negative
The box had been smashed prior to shipping, and the biscuits themselves were stale.;negative
